FinancialYear,Month,ReportDate,Metric_name,SiteDesc,Business_Unit,Indicator_Code,Performance,Remarks
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,BARNET HOSPITAL,NA,PS004,63,
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,EDGWARE COMMUNITY HOSPITAL,NA,PS004,2,
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,Others,Barnet Hospital,PS004,5,
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,Others,Royal Free Hospital,PS004,2,
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,Others,NA,PS004,10,
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Barnet Hospital,PS004,3,
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Group Clinical Services,PS004,1,
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Royal Free Hospital,PS004,12,
2017/2018,Jan,01/01/2018,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,NA,PS004,38,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Barnet Hospital,PS004,10,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Royal Free Hospital,PS004,4,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,NA,PS004,50,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,EDGWARE COMMUNITY HOSPITAL,NA,PS004,6,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,Others,Barnet Hospital,PS004,1,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,Others,Royal Free Hospital,PS004,1,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,Others,NA,PS004,20,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Barnet Hospital,PS004,5,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Royal Free Hospital,PS004,15,
2017/2018,Jul,01/07/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,NA,PS004,40,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Barnet Hospital,PS004,5,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Royal Free Hospital,PS004,3,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,NA,PS004,49,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,PS004,1,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,Others,Barnet Hospital,PS004,1,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,Others,Royal Free Hospital,PS004,2,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,Others,NA,PS004,11,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Barnet Hospital,PS004,1,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Royal Free Hospital,PS004,19,
2017/2018,Jun,01/06/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,NA,PS004,39,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,BARNET HOSPITAL,Barnet Hospital,PS004,3,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,BARNET HOSPITAL,Royal Free Hospital,PS004,2,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,BARNET HOSPITAL,NA,PS004,20,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,Others,Barnet Hospital,PS004,1,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,Others,Royal Free Hospital,PS004,2,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,Others,NA,PS004,16,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Barnet Hospital,PS004,2,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Royal Free Hospital,PS004,11,
2017/2018,Mar,01/03/2018,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,NA,PS004,55,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Barnet Hospital,PS004,4,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Royal Free Hospital,PS004,2,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,NA,PS004,45,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,EDGWARE COMMUNITY HOSPITAL,NA,PS004,4,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,Others,Barnet Hospital,PS004,2,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,Others,Royal Free Hospital,PS004,3,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,Others,NA,PS004,14,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Barnet Hospital,PS004,5,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Royal Free Hospital,PS004,23,
2017/2018,May,01/05/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,NA,PS004,42,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Barnet Hospital,PS004,12,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Royal Free Hospital,PS004,13,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,NA,PS004,60,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,PS004,1,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,Others,Royal Free Hospital,PS004,4,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,Others,NA,PS004,16,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Barnet Hospital,PS004,5,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Royal Free Hospital,PS004,13,
2017/2018,Nov,01/11/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,NA,PS004,56,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Barnet Hospital,PS004,5,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Royal Free Hospital,PS004,6,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,NA,PS004,44,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,EDGWARE COMMUNITY HOSPITAL,NA,PS004,2,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,Others,Barnet Hospital,PS004,2,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,Others,Royal Free Hospital,PS004,1,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,Others,NA,PS004,12,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Barnet Hospital,PS004,4,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Royal Free Hospital,PS004,9,
2017/2018,Oct,01/10/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,NA,PS004,42,
2017/2018,Sep,01/09/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,Barnet Hospital,PS004,6,
2017/2018,Sep,01/09/2017,Number of Staff Safety Incidents,BARNET HOSPITAL,NA,PS004,40,
2017/2018,Sep,01/09/2017,Number of Staff Safety Incidents,EDGWARE COMMUNITY HOSPITAL,NA,PS004,1,
2017/2018,Sep,01/09/2017,Number of Staff Safety Incidents,Others,Royal Free Hospital,PS004,3,
2017/2018,Sep,01/09/2017,Number of Staff Safety Incidents,Others,NA,PS004,17,
2017/2018,Sep,01/09/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Barnet Hospital,PS004,1,
2017/2018,Sep,01/09/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,Royal Free Hospital,PS004,9,
2017/2018,Sep,01/09/2017,Number of Staff Safety Incidents,ROYAL FREE HOSPITAL,NA,PS004,29,
2017/2018,Apr,01/04/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,1,
2017/2018,Apr,01/04/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,3,
2017/2018,Apr,01/04/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,4,
2017/2018,Apr,01/04/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,6,
2017/2018,Aug,01/08/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,3,
2017/2018,Aug,01/08/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,5,
2017/2018,Aug,01/08/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS005,1,
2017/2018,Aug,01/08/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS005,2,
2017/2018,Aug,01/08/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,5,
2017/2018,Aug,01/08/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,3,
2017/2018,Dec,01/12/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,3,
2017/2018,Dec,01/12/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,1,
2017/2018,Dec,01/12/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS005,1,
2017/2018,Dec,01/12/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,2,
2017/2018,Dec,01/12/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,6,
2017/2018,Feb,01/02/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,1,
2017/2018,Feb,01/02/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,4,
2017/2018,Feb,01/02/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS005,1,
2017/2018,Feb,01/02/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,Royal Free Hospital,PS005,1,
2017/2018,Feb,01/02/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,4,
2017/2018,Jan,01/01/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,3,
2017/2018,Jan,01/01/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS005,2,
2017/2018,Jan,01/01/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS005,1,
2017/2018,Jan,01/01/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,3,
2017/2018,Jan,01/01/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,2,
2017/2018,Jul,01/07/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,1,
2017/2018,Jul,01/07/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,4,
2017/2018,Jul,01/07/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,4,
2017/2018,Jun,01/06/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,3,
2017/2018,Jun,01/06/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,5,
2017/2018,Jun,01/06/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS005,2,
2017/2018,Jun,01/06/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,2,
2017/2018,Jun,01/06/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,5,
2017/2018,Mar,01/03/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,2,
2017/2018,Mar,01/03/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,3,
2017/2018,Mar,01/03/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,NA,PS005,1,
2017/2018,Mar,01/03/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS005,1,
2017/2018,Mar,01/03/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS005,1,
2017/2018,Mar,01/03/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,5,
2017/2018,Mar,01/03/2018,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,10,
2017/2018,May,01/05/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,2,
2017/2018,May,01/05/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,4,
2017/2018,May,01/05/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS005,1,
2017/2018,May,01/05/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS005,2,
2017/2018,May,01/05/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,1,
2017/2018,May,01/05/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,3,
2017/2018,Nov,01/11/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,3,
2017/2018,Nov,01/11/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,3,
2017/2018,Nov,01/11/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS005,1,
2017/2018,Nov,01/11/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS005,3,
2017/2018,Nov,01/11/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,5,
2017/2018,Nov,01/11/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,2,
2017/2018,Oct,01/10/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,5,
2017/2018,Oct,01/10/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Royal Free Hospital,PS005,3,
2017/2018,Oct,01/10/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,3,
2017/2018,Oct,01/10/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS005,1,
2017/2018,Oct,01/10/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS005,1,
2017/2018,Oct,01/10/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,4,
2017/2018,Oct,01/10/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,3,
2017/2018,Sep,01/09/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS005,3,
2017/2018,Sep,01/09/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Royal Free Hospital,PS005,1,
2017/2018,Sep,01/09/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS005,2,
2017/2018,Sep,01/09/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,NA,PS005,1,
2017/2018,Sep,01/09/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS005,1,
2017/2018,Sep,01/09/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS005,5,
2017/2018,Sep,01/09/2017,Number of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS005,4,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS006,0.005649718,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS006,0.013761468,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,PS006,NA,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,NA,PS006,NA,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS006,NA,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Royal Free Hospital,PS006,NA,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS006,NA,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS006,NA,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS006,0.027027027,
2017/2018,Apr,01/04/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS006,0.021201413,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS006,0.016666667,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS006,0.01754386,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,PS006,NA,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,NA,PS006,NA,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS006,NA,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Royal Free Hospital,PS006,NA,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS006,0.010989011,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS006,0.015748031,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Group Clinical Services,PS006,NA,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS006,0.028089888,
2017/2018,Aug,01/08/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS006,0.010238908,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS006,0.021276596,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS006,0.004524887,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,PS006,NA,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,NA,PS006,NA,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS006,NA,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Royal Free Hospital,PS006,NA,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS006,0.015873016,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS006,NA,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Group Clinical Services,PS006,NA,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS006,0.014705882,
2017/2018,Dec,01/12/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS006,0.018404908,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS006,0.006451613,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS006,0.015625,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,NA,PS006,NA,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS006,0.125,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Royal Free Hospital,PS006,0.125,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS006,NA,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS006,NA,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Group Clinical Services,PS006,NA,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Feb,01/02/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS006,0.013468013,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS006,NA,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS006,0.010909091,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,NA,PS006,NA,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS006,0.222222222,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Royal Free Hospital,PS006,NA,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS006,0.013888889,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Barnet Hospital,PS006,NA,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Group Clinical Services,PS006,NA,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,Royal Free Hospital,PS006,0.021126761,
2017/2018,Jan,01/01/2018,Percentage of Patient Safety Incidents Resulting in Moderate Harm,ROYAL FREE HOSPITAL,NA,PS006,0.005934718,
2017/2018,Jul,01/07/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Barnet Hospital,PS006,0.005076142,
2017/2018,Jul,01/07/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Jul,01/07/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,BARNET HOSPITAL,NA,PS006,0.014981273,
2017/2018,Jul,01/07/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,PS006,NA,
2017/2018,Jul,01/07/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,EDGWARE COMMUNITY HOSPITAL,NA,PS006,NA,
2017/2018,Jul,01/07/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Barnet Hospital,PS006,NA,
2017/2018,Jul,01/07/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,Royal Free Hospital,PS006,NA,
2017/2018,Jul,01/07/2017,Percentage of Patient Safety Incidents Resulting in Moderate Harm,Others,NA,PS006,NA,
